State,Number of fires,Number of acres burned,Year
Alabama,970,15464,2018
Alaska,367,410683,2018
Arizona,2000,165356,2018
Arkansas,1119,24071,2018
California,8054,1823153,2018
Colorado,1328,475803,2018
Connecticut,52,40,2018
Delaware,0,0,2018
District of Columbia,0,0,2018
Florida,2249,138820,2018
Georgia,2572,14236,2018
Hawaii,3,21979,2018
Idaho,1132,604481,2018
Illinois,6,120,2018
Indiana,26,115,2018
Iowa,386,8014,2018
Kansas,71,59234,2018
Kentucky,376,8417,2018
Louisiana,647,10742,2018
Maine,542,678,2018
Maryland,76,359,2018
Massachusetts,320,210,2018
Michigan,431,3786,2018
Minnesota,1344,17005,2018
Mississippi,1168,21194,2018
Missouri,103,6025,2018
Montana,1342,97814,2018
Nebraska,35,122,2018
Nevada,649,1001966,2018
New Hampshire,145,61,2018
New Jersey,625,1347,2018
New Mexico,1334,382345,2018
New York,109,848,2018
North Carolina,3625,18058,2018
North Dakota,1026,19557,2018
Ohio,67,337,2018
Oklahoma,1707,745097,2018
Oregon,2019,897263,2018
Pennsylvania,1276,3614,2018
Puerto Rico,25,389,2018
Rhode Island,32,14,2018
South Carolina,1136,9939,2018
South Dakota,433,5027,2018
Tennessee,341,3763,2018
Texas,10541,569811,2018
Utah,1333,438983,2018
Vermont,59,113,2018
Virginia,1266,15224,2018
Washington,1743,438834,2018
West Virginia,467,6370,2018
Wisconsin,825,1678,2018
Wyoming,611,279243,2018
Alaska,688,1129421,2010
Alabama,2357,26331,2010
Arkansas,2010,30954,2010
Arizona,1517,74445,2010
California,6502,108742,2010
Colorado,1076,40788,2010
Connecticut,93,262,2010
Delaware,12,32,2010
Florida,2334,37929,2010
Georgia,3489,14534,2010
Hawaii,9,10172,2010
Iowa,123,2722,2010
Idaho,977,613868,2010
Illinois,95,630,2010
Indiana,57,132,2010
Kansas,35,20364,2010
Kentucky,1677,51003,2010
Louisiana,2166,33401,2010
Massachusetts,2014,2117,2010
Maryland,160,1577,2010
Maine,550,318,2010
Michigan,459,11441,2010
Minnesota,2037,33969,2010
Missouri,1314,17620,2010
Mississippi,1696,15338,2010
Montana,1035,57380,2010
North Carolina,3665,20000,2010
North Dakota,448,3840,2010
Nebraska,24,1125,2010
New Hampshire,358,145,2010
New Jersey,2011,10630,2010
New Mexico,953,231403,2010
Nevada,431,23863,2010
New York,151,2066,2010
Ohio,557,3995,2010
Oklahoma,1568,81238,2010
Oregon,1299,69623,2010
Pennsylvania,506,3203,2010
Rhode Island,30,23,2010
South Carolina,1617,6592,2010
South Dakota,732,6175,2010
Tennessee,1653,20283,2010
Texas,6691,203891,2010
Utah,1054,65236,2010
Virginia,847,7698,2010
Vermont,81,86,2010
Washington,888,41151,2010
Wisconsin,1278,2185,2010
West Virginia,617,14319,2010
Wyoming,530,79201,2010
Alaska,515,293018,2011
Alabama,3073,71311,2011
Arkansas,2627,54032,2011
Arizona,1988,1016428,2011
California,7989,126854,2011
Colorado,1286,161167,2011
Connecticut,196,244,2011
Delaware,0,0,2011
Florida,5102,299991,2011
Georgia,8387,149222,2011
Hawaii,3,2178,2011
Iowa,561,2145,2011
Idaho,1094,384103,2011
Illinois,62,2019,2011
Indiana,27,530,2011
Kansas,99,111128,2011
Kentucky,1040,24961,2011
Louisiana,3079,52763,2011
Massachusetts,1116,545,2011
Maryland,131,8310,2011
Maine,308,116,2011
Michigan,322,1865,2011
Minnesota,1238,135650,2011
Missouri,2732,55395,2011
Mississippi,2341,42036,2011
Montana,1335,168010,2011
North Carolina,5279,119482,2011
North Dakota,353,2862,2011
Nebraska,80,29643,2011
New Hampshire,139,48,2011
New Jersey,708,794,2011
New Mexico,1875,1286487,2011
Nevada,817,424170,2011
New York,47,232,2011
Ohio,246,1203,2011
Oklahoma,2486,293381,2011
Oregon,1151,285712,2011
Pennsylvania,204,636,2011
Rhode Island,30,27,2011
South Carolina,2703,16141,2011
South Dakota,1248,97230,2011
Tennessee,1170,13812,2011
Texas,3470,2722623,2011
Utah,1102,62783,2011
Virginia,831,20114,2011
Vermont,11,14,2011
Washington,993,17480,2011
Wisconsin,735,719,2011
West Virginia,342,2680,2011
Wyoming,680,135878,2011
Alaska,416,286887,2012
Alabama,1531,24267,2012
Arkansas,2389,39765,2012
Arizona,1684,216090,2012
California,7950,869599,2012
Colorado,1498,246445,2012
Connecticut,180,417,2012
Delaware,,,2012
Florida,2227,66868,2012
Georgia,3331,19136,2012
Hawaii,2,1802,2012
Iowa,10,349,2012
Idaho,1149,1667654,2012
Illinois,157,1848,2012
Indiana,69,1846,2012
Kansas,71,53607,2012
Kentucky,1293,35397,2012
Louisiana,967,11088,2012
Massachusetts,1446,1027,2012
Maryland,161,838,2012
Maine,551,489,2012
Michigan,777,28377,2012
Minnesota,2391,64682,2012
Missouri,701,26456,2012
Mississippi,10,135,2012
Montana,2213,1220655,2012
North Carolina,3463,35590,2012
North Dakota,1094,32030,2012
Nebraska,149,316015,2012
New Hampshire,312,221,2012
New Jersey,1068,3095,2012
New Mexico,1029,372497,2012
Nevada,944,613126,2012
New York,168,2127,2012
Ohio,309,1250,2012
Oklahoma,1595,232579,2012
Oregon,963,1256049,2012
Pennsylvania,683,3157,2012
Rhode Island,49,41,2012
South Carolina,1799,10202,2012
South Dakota,2784,274606,2012
Tennessee,1158,19948,2012
Texas,10620,179602,2012
Utah,1534,415267,2012
Virginia,583,46481,2012
Vermont,92,405,2012
Washington,1342,259526,2012
Wisconsin,1536,2880,2012
West Virginia,488,6703,2012
Wyoming,838,357117,2012
Alabama,1284,25623,2013
Alaska,603,1316876,2013
Arizona,1756,105281,2013
Arkansas,881,14733,2013
California,9907,577675,2013
Colorado,1176,195145,2013
Connecticut,76,238,2013
Delaware,4,17,2013
Florida,101,7660,2013
Georgia,2942,6736,2013
Hawaii,0,0,2013
Idaho,1471,722204,2013
Illinois,24,55,2013
Indiana,19,806,2013
Iowa,436,14704,2013
Kansas,16,7137,2013
Kentucky,1030,25084,2013
Louisiana,1027,17883,2013
Maine,426,743,2013
Maryland,126,182,2013
Massachusetts,1132,879,2013
Michigan,436,940,2013
Minnesota,1115,22107,2013
Mississippi,5,33,2013
Missouri,51,1660,2013
Montana,1723,124209,2013
Nebraska,10,63,2013
Nevada,763,162907,2013
New Hampshire,85,137,2013
New Jersey,1013,1430,2013
New Mexico,1064,221951,2013
New York,138,1073,2013
North Carolina,3514,24547,2013
North Dakota,515,16116,2013
