"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","16.3","20.1","3727","Overall","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.9","15.1","20.7","2518","Overall","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","19.4","23.0","2580","Overall","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","17.4","20.8","2909","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.2","20.5","23.9","3577","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.3","20.8","23.8","3166","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.2","21.6","24.8","3172","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.8","24.1","27.6","3765","Overall","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.2","14.4","18.0","2622","Overall","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.6","16.8","22.4","2742","Overall","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.7","20.7","24.7","2941","Overall","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.4","22.4","26.4","2370","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","22.0","25.5","2986","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.7","24.9","28.5","2383","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.3","23.6","27.0","2251","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.2","25.4","29.0","3459","Overall","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.9","10.1","13.7","3297","Overall","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.9","12.0","15.8","2876","Overall","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.6","16.2","19.0","2915","Overall","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.5","15.7","19.3","2426","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","17.6","21.0","2956","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.5","21.2","3445","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.8","21.2","24.4","3289","Overall","All Ages","All Races","All Grades"
