"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.2","17.9","20.5","6347","Overall","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","19.5","22.3","6472","Overall","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.5","20.1","22.9","6764","Overall","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.4","20.0","22.8","7653","Overall","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.1","19.8","22.4","8368","Overall","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.5","19.9","23.1","6383","Overall","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.8","22.4","25.2","8913","Overall","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.3","22.8","25.8","7660","Overall","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","16.9","21.3","2698","Overall","All Ages","All Races","All Grades"
"2017","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.0","18.3","23.7","3084","Overall","All Ages","All Races","All Grades"
"2016","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","16.7","21.3","2811","Overall","All Ages","All Races","All Grades"
"2015","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","17.0","21.2","3551","Overall","All Ages","All Races","All Grades"
"2014","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.2","21.6","4226","Overall","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.6","20.8","24.4","4476","Overall","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.5","18.8","22.2","4267","Overall","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.9","20.9","24.9","3513","Overall","All Ages","All Races","All Grades"
"2018","Arizona","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.0","12.7","15.3","7758","Overall","All Ages","All Races","All Grades"
"2017","Arizona","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.6","14.8","16.4","14770","Overall","All Ages","All Races","All Grades"
"2016","Arizona","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.7","13.5","15.9","10509","Overall","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.0","12.8","15.2","7598","Overall","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.5","15.4","17.6","14002","Overall","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.3","14.3","18.3","4111","Overall","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.1","15.6","18.6","7140","Overall","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","17.3","21.3","6435","Overall","All Ages","All Races","All Grades"
"2018","Arkansas","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.7","20.9","24.5","5177","Overall","All Ages","All Races","All Grades"
